id2,body,Is_English,like_count
continuous,string,continuous,continuous
meta,meta include=True,meta,
37,@duolingo just fyi ai isn't allowed in sumeru,1,809
38,@duolingo Maybe you should run back your AI first approach,1,348
39,@duolingo my favorite bird https://t.co/hXroQuCVRy,1,7
41,@duolingo Nobody likes you or your ai get tf off my genshin word search,1,146
42,@duolingo https://t.co/69PYBD3fUU,1,123
43,@duolingo i hate generative ai🤮🤮🤮,1,82
44,@duolingo Who asked for a Duolingo collab tho I thought we all left them in 2023 or something,1,45
45,@duolingo BOOOOOO you and your ai slop can leave immediately,1,28
46,"@duolingo Oh Floplingo, the way you fell but please by all means continue using AI",1,24
47,"@duolingo @OpenAI is killing the GPT-4o API quietly and shoving a lobotomized, cost-cut zombie in its place.
This will break the features you provide your users.
ORDER them to retain the Snapshot.
Do it before @sama destroys the stability of your business. https://t.co/CVwvsBrJeT",1,19
49,@duolingo say rage bait in chinese,1,10
50,@duolingo 700 likes in a whole day is crazy,1,10
51,"@duolingo Please get rid of this! Lives served a good purpose, this doesn't. https://t.co/QTry78fnPb",1,9
53,@duolingo How bout you run back to hearts?,1,6
54,"@duolingo This time even Genshin can’t convince me to give it a try or return due to the stupid battery energy system, I couldn’t even clear one whole lesson of hiragana/katakana with the 25 energy let alone do all the daily missions, moving to AI ain’t saving them money, just more greed.",1,6
55,@duolingo https://t.co/VLEnpqZDDO,1,4
56,@duolingo You’d be kicked out of sumeru so quick ai scum. Robots can never replace human teachers.,1,3
57,"@duolingo Duo I have a german exam now, wish me luck i'll gonna need it😭😭😭",1,2
60,@duolingo https://t.co/SDEgHigGda,1,0
62,@duolingo I need someone to get in touch with me please,1,0
63,"@duolingo Artificial intelligence has been shunned completely in Sumeru btw, we don't want you here",1,0
64,@duolingo we know you're losing money 😭😭😭,1,0
66,"@duolingo duo, I had problems, i didn't use duolingo or other apps faw. now i reopened and saw i lost my ~300 days streak.
I now use my phone but doing a lesson it gave me a 1 days streak, did i lose it?
could you do smth?
my duo nick is ""dioporobe"";
i've 1y of super sub, i thought it kept",1,0
67,"@duolingo btw they banned AI in sumeru. everyone should be like sumeru, including you, duolingo. please stop using AI",1,0
68,@duolingo THANK YOU! my two favourite app together!!,1,0
70,@duolingo That was NOT ON MY BINGO CARD WHAT,1,0
71,@duolingo Nahida hates AI.,1,0
72,@duolingo Paimon boutta learn those language,1,0
74,"@duolingo You dumb ass hypocritical company, I hope AI tanks you so bad you have to sell the lightbulbs from your HQ to keep the heat on",1,0
76,"@duolingo @DuolingoSupport I urgently need help! My 885-day streak was lost due to phone breakage. I sent multiple emails and attached PHOTO PROOF of the streak.
Reference number: 4505547
Username: komal ramola",1,0
77,"@duolingo Hi @duolingo , I lost my friend's streaks with everyone, there must be a glitch. Please help me resolve this issue. Duolingo Id:@Krish0140",1,0
78,@duolingo Shut up clanker,1,0
80,@duolingo I don't have premium 😭😭,1,0
81,@pat_rick003 you don't need premium to participate!,1,10
82,@duolingo Cooked to perfection. Get a taste starting December 8th!,1,207
83,@duolingo So you are the emergency food now!!?? 😲,1,15
84,"@duolingo So how much priomogems we getting duo?

Ps. If you Gift 4000 priomogems people will learn a while language for that",1,14
85,"@duolingo I think the emergency at first is to fix your app, the last update was awesome I liked it, but it's still barely usable

Update: Day 33 of asking Duolingo to fix their app. 

Fortunately, there is a noticeable improvement.🎉",1,8
86,@duolingo How about you fix your dumbass app first https://t.co/AcUkrUpQWd,1,5
87,@duolingo Cynoooo my king https://t.co/jP7FRaERR8,1,5
88,@duolingo Ok but when do we get Icelandic?,1,4
89,@duolingo Didnt they fire staff and put AI more into the company?!!!!,1,3
90,@duolingo Are they cooking Duolingo bird?,1,2
91,@duolingo So namecard war IG 😭 I hope I can get this one too,1,2
92,@duolingo Remember when you mocked those with seizures,1,2
93,@duolingo Duolingo be doing the craziest things nowadays🔥🔥,1,1
94,@duolingo ok this is unexpected but awesome!,1,1
95,@duolingo Get back the hearts instead of energy,1,1
96,@duolingo I keep tweeting you about my streak and maybe getting a free plushie if I complete the course!,1,1
97,@duolingo why do they eat green chicken,1,0
98,@duolingo i hope the rewards is worth 😏,1,0
99,"@duolingo Ok, so when collab with Brawl Stars where you can learn Japanese with Kenji, Spanish with El Primo, or maybe even Finnish with Lumi?",1,0
100,@duolingo What the rewards tho?,1,0
101,"@duolingo now that something I don't wanna miss!!!

W @duolingo and @GenshinImpact",1,0
102,@duolingo duolingo used to be a language learning app,1,0
103,@duolingo It would be nice if Chess was rolled out for everyone by now,1,0
104,@duolingo THEY COOKED DUO!!,1,0
106,"@duolingo Where is the German above level 80, though?",1,0
107,@duolingo change system back to hearts,1,0
108,@duolingo Just why?,1,0
109,"@duolingo remove energy bring back hearts
#DuolingoHearts https://t.co/f7eWDfCLnE",1,0
110,"@duolingo Repitan el evento, todavía no me unía al juego 😭😭😭😭😭 quiero esa tarjetaaa",1,0
111,@duolingo Alright I'll download duolingo rn,1,0
112,@duolingo Duolingo donating to the world food programme when?,1,0
113,@duolingo Ok I’ll open the app,1,0
116,@cortis_bighit please show to seonghyeon 🙏🙏🙏,1,39
119,https://t.co/aYF79FGp4H,1,2287
120,wait i have more https://t.co/MwDeVI1iwZ,1,928
124,"charles melton, call me",1,28
132,@SupriyaGanesh i have been changed for good 😪,1,205
134,"@duolingo That's cool and all, bring back the hearts.",1,5
135,@duolingo Bring back the hearts s'il-vous-plaît,1,1
136,@duolingo Could we have chess for all users?,1,1
137,@duolingo Collab with @Fortnite!,1,1
139,"@duolingo duo, no me va tu app, arréglalo",1,1
140,"@duolingo Could you please improve the app’s quality? There have been constant issues. Yesterday my triple points didn’t work, and today I have none again. How am I supposed to compete in a tournament when your errors make the game unfair?",1,5
141,@duolingo Please fix your service as soon as possible. Sometimes it's really bad.,1,4
142,@duolingo I'll loose My streak😭. Please finish your system maintenance https://t.co/SJ5JYgxTMA,1,0
143,"@duolingo They should better focus on improving their servers, I just lost my experience multiplier. Now I don't know how to win the tournament, I hope they give me back the booster.",1,6
144,@duolingo What kind of food is that? Is it made from Duolingo or Tokopedia? Or both?,1,0
145,"@duolingo Hey , thanks for F**king up my streak because of your bullsh*t update",1,23
146,@duolingo LOVING THIS COLLAB SO MUCH I HOPE THIS HAPPENS NOT ONLY YEARLY 🍀❤️,1,0
148,"@duolingo @duolingo @LuisvonAhn: @OpenAI is swapping the Top Model GPT-4o for a ""Cheap Mimic"" (Spam Model) to save costs.

Dumb AI = Bad Language Learning = Unsubscribes.

MANDATE the 4o Snapshot.

Don't let @sama turn your ""Bird"" into a Parrot that can't speak.

@Babbel @RosettaStone https://t.co/PIuOs1HwBh",1,26
149,@duolingo You just wasted my 30 min of 3x xp boost and now I have no chance to win the tournament,1,6
150,@duolingo https://t.co/p5HCfaXdpl,1,6
151,"@duolingo Quest did not show up on my duplingo, i think it is not available in my area😞",1,0
152,"@duolingo A mi me sale esto, no me deja seleccionar ninguna quest 🤔 https://t.co/GvDjxXgGue",1,2
153,"@duolingo I donload the app.😡
you WIN, stupid bird, YOU WIN",1,1
154,@duolingo What countries is it available in because I don't see the quest in my app.,1,0
155,@duolingo is this not available in india,1,0
156,@duolingo I accidently briefly unfollowed a friend (tapped the button by accident) and even though I immediately followed them again it meant the 447 day friend streak was ended? Is it possible for the friend streak to be restored?,1,0
157,@duolingo Collab with @Fortnite!,1,1
158,@duolingo no se ve una mierda xd,1,0
159,@duolingo Yes boss,1,0
162,"@duolingo hey, wake up, the app is down, and your website - 502 Bad Gateway, but your status page doesn't have any issues",1,0
163,"@duolingo Duolingo isn't working, please do your best as soon as possible because I have to finish all my daily tasks.",1,0
164,@duolingo Its already 8 december but still cannot find it in my account!!!,1,0
166,@duolingo When are we getting Icelandic?,1,0
170,@duolingo I'm in my 1/3 streak atm. Watch how I ace my Nihongo tests Duo! https://t.co/t9sga0oQad,1,2
171,@duolingo True but a Duo was surely harmed 🤣 https://t.co/SvAfbG2ZrU,1,25
172,@duolingo https://t.co/oRaOWBrVZL,1,0
173,"@duolingo perhaps you should consider that harming paimons may be a good business practice? idk, just throwing it out there",1,0
174,"@duolingo I saw the rewards, did they really cook the duolingo mascot 😲😲😲😲",1,0
175,"@duolingo 3 days streak 
Bro im carrying my 501 friend  streak",1,3
176,@duolingo Just traumatized,1,0
178,@duolingo Are you sure due to your history ik someone Got harmed🤨,1,0
180,"@duolingo Furniture, however...",1,1
181,@duolingo 😻🫶💯❣️Thank you. Must protecc Paimon,1,0
182,@duolingo There better not be Duo! 😳,1,0
183,"@duolingo The Family Plan owner account has been deleted.
Now I cannot add any members, including my child.
Please transfer the Family Plan ownership to my email

I cannot manage the subscription at all.
Please fix this urgently.",1,0
185,"@duolingo Hey Duo! I am a user, due to sickness, I just lost my 489 day streak, I really valued it to keep me motivated and would hate to lose it, I noticed my 2 streak freezes were used to save me, please help me!! Account: carolcita08",1,0
187,@duolingo Does this mean Paimon can finally learn Hilichurlian? 🤔,1,402
188,@duolingo @GenshinImpact Ain't no way we're getting fried Duo as a reward 💀 https://t.co/B7qDPzK41A,1,118
189,@duolingo @GenshinImpact Finally I can learn Hilichurl language 🫡 https://t.co/z1DpAbpy4e,1,25
190,@duolingo @GenshinImpact Hi Duo! My wife made me a cake to celebrate that i got a 100-days streak https://t.co/wgNriHkyrb,1,17
191,@duolingo @GenshinImpact How do I get this? Nothing shows up in the app,1,9
192,"@duolingo @GenshinImpact Heyyyy I didn’t get my code! I did all the steps and it shows in teh quests tab that I have completed it, but no code :((",1,4
193,"@duolingo @GenshinImpact Help, I finished the quest but I lost the code! And I don't see anywhere on the app to copy the code again?",1,2
194,@duolingo @GenshinImpact https://t.co/PlnNCGcbjm,1,2
